CapHitA_fl203_3 || 66.5075 246.582 95.6648 -26.8981 -16.4593 -9.99416
CapHitA_fl210_3 || 142.652 99.8241 76.6459 -31.0602 -1.77532 8.59478
CapHitA_fl219_3 || 150.011 25.465 142.785 -31.2306 0.88412 -2.92947
CapHitA_fl246_3 || 69.626 180.802 53.1429 -34.9839 -11.0628 3.1504
CapHitA_fl361_3 || 35.2088 228.022 82.2566 -34.0623 -12.611 -9.94901
CapHitA_fl397_3 || 82.4017 200.08 79.2431 -28.4233 -18.8223 1.47621
CapHitA_fl402_3 || 83.1753 172.223 126.961 -27.2779 -15.0024 8.39472
CapHitA_fl432_3 || 19.5618 241.2 46.3019 -33.5979 -6.86491 -4.54119
CapHitA_fl435_3 || 227.375 66.2777 93.5223 -29.4695 -14.0962 9.71645
CapHitA_fl449_3 || 68.8118 182.868 75.903 -28.2088 -15.1851 7.67481
CapHitA_fl21_4 || 97.8298 76.6185 93.4624 -30.0588 4.11204 10.214
CapHitA_fl130_4 || 86.787 3.86545 147.838 -27.8422 11.3058 2.21273
CapHitA_fl141_4 || 128.275 26.1581 166.941 -30.9454 8.19156 5.62648
CapHitA_fl199_4 || 113.751 111.423 51.9078 -30.3529 1.90428 5.42072
CapHitA_fl262_4 || 85.7403 172.381 22.7216 -30.9308 -10.3352 3.81412
CapHitA_fl338_4 || 159.394 30.541 49.9038 -36.944 2.50115 -2.23325
CapHitA_fl383_4 || 125.599 9.83246 102.111 -33.7275 3.52637 -2.24447
CapHitA_fl427_4 || 118.499 81.8537 82.4207 -30.6399 3.91032 8.27309
CapHitA_fl431_4 || 46.3269 313.937 145.619 -28.5966 10.4352 0.0983647
CapHitA_fl434_4 || 100.728 268.64 82.2503 -25.479 -4.26534 -11.2945
CapHitA_fl469_4 || 162.071 64.0937 109.125 -31.1718 7.66351 5.71427
CapHitA_fl48_5 || 15.5028 209.457 26.5417 -34.2477 -4.62431 -0.666185
CapHitA_fl97_5 || 14.9995 262.84 39.5846 -27.1177 -8.30813 -8.273
CapHitA_fl255_5 || 219.064 350.058 38.0887 -32.1997 -2.09412 -8.80405
CapHitA_fl275_5 || 168.667 45.0768 67.2416 -33.6769 2.33237 2.59305
CapHitA_fl294_5 || 4.9239 242.428 10.4348 -27.9721 -5.73848 -6.54164
CapHitA_fl347_5 || 172.092 56.6272 118.734 -33.102 4.70209 4.45695
CapHitA_fl443_5 || 160.085 40.3829 88.079 -33.1733 5.39219 2.24811
CapHitA_fl483_5 || 12.7981 241.282 65.0621 -33.0997 -3.45203 -8.14142
CapHitA_fl22_6 || 4.30659 264.415 56.7575 -27.062 -6.84709 -10.571
CapHitA_fl30_6 || 98.2645 344.712 78.3588 -19.5079 10.289 -11.7898
CapHitA_fl33_6 || 354.376 279.819 50.6748 -25.4958 -7.46177 -10.1149
CapHitA_fl37_6 || 142.569 38.1474 99.9672 -31.8094 3.36356 2.2445
CapHitA_fl45_6 || 9.05264 269.864 53.7514 -25.9109 -7.25717 -10.474
CapHitA_fl118_6 || 357.568 280.569 60.3217 -24.9197 -5.66634 -10.9343
CapHitA_fl157_6 || 5.73064 268.331 62.4358 -26.2375 -6.52294 -11.3019
CapHitA_fl166_6 || 356.847 273.952 57.066 -26.6338 -6.17116 -10.5061
CapHitA_fl171_6 || 177.221 1.35164 44.6885 -27.2608 1.85189 -7.80011
CapHitA_fl185_6 || 358.756 270.569 55.9282 -26.3222 -7.66608 -10.8721
CapHitA_fl215_6 || 14.799 262.341 57.6252 -26.3765 -7.5912 -10.6444
CapHitA_fl223_6 || 356.952 278.644 58.6032 -25.6946 -5.92286 -10.6622
CapHitA_fl264_6 || 155.215 33.9351 88.47 -32.9368 1.04104 1.22571
CapHitA_fl270_6 || 160.729 30.2847 88.0591 -32.2367 -0.452736 -0.646985
CapHitA_fl272_6 || 17.1538 264.37 63.1888 -26.0908 -6.57615 -10.7209
CapHitA_fl291_6 || 77.8704 335.601 138.805 -28.3689 6.90676 -5.49674
CapHitA_fl295_6 || 356.492 279.183 54.7187 -26.1574 -7.1161 -10.4537
CapHitA_fl347_6 || 134.246 23.9309 103.354 -31.4992 4.44311 -0.148163
CapHitA_fl386_6 || 355.029 280.598 48.5509 -24.8071 -8.63649 -10.5772
CapHitA_fl423_6 || 278.954 1.73148 16.242 -25.2759 -10.303 -3.73104
CapHitA_fl432_6 || 152.728 41.2697 120.618 -30.7537 3.8771 1.31642
CapHitA_fl435_6 || 142.923 21.4776 108.02 -31.6993 3.1204 -0.798897
CapHitA_fl449_6 || 133.19 27.0678 128.05 -30.0186 5.74291 0.135418
CapHitA_fl495_6 || 136.109 34.8565 132.936 -30.2029 3.84447 -0.65516
CapHitA_fl31_7 || 146.425 41.9927 91.1459 -31.0195 1.51945 1.75455
CapHitA_fl112_7 || 110.932 19.698 147.499 -27.3323 8.15609 -2.38161
CapHitA_fl140_7 || 158.118 45.032 103.018 -30.5423 0.993557 1.49219
CapHitA_fl242_7 || 108.19 24.8736 119.595 -25.0047 14.6229 -4.67121
CapHitA_fl419_7 || 140.226 36.9791 136.85 -29.7369 5.57993 0.47635
CapHitA_fl420_7 || 286.267 304.774 78.6842 -28.8232 -1.16348 -15.463
CapHitA_fl442_7 || 149.226 47.3255 119.118 -29.3442 5.3749 1.72434
CapHitA_fl36_8 || 197.204 331.858 86.3638 -31.2102 7.59301 -16.5401
CapHitA_fl224_8 || 112.398 12.7185 93.4434 -27.5293 16.065 -7.29447
CapHitA_fl242_8 || 135.383 16.399 132.905 -28.6737 18.295 -8.90608
CapHitB_fl1_1 || 323.391 235.848 126.026 -43.3681 31.026 -1.11242
CapHitB_fl1_2 || 120.154 86.7329 34.4424 -37.0971 30.721 -7.6129
CapHitB_fl1_3 || 166.466 0.659573 39.4504 -31.2061 27.045 -21.1506
CapHitB_fl1_4 || 60.0989 45.7773 61.1722 -15.5719 31.2386 -11.3925
CapHitB_fl1_6 || 4.53218 291.584 70.1938 -37.8422 8.51247 -25.0109
CapHitB_fl1_7 || 75.6386 283.676 98.696 -35.8372 -9.40223 -17.0773
CapHitB_fl1_9 || 119.098 328.924 92.8227 -28.1064 8.14727 -27.7087
CapHitB_fl1_11 || 56.3425 194.955 50.165 -43.5064 13.059 8.93632
CapHitB_fl1_13 || 351.047 242.066 63.8156 -46.414 19.881 -8.0628
CapHitB_fl1_15 || 307.933 336.151 166.806 -4.80102 31.1404 -11.7491
CapHitB_fl1_16 || 104.612 21.7507 68.0064 -27.1114 27.0169 -19.9579
CapHitB_fl1_17 || 312.617 235.949 56.1106 -31.6225 32.7752 -10.1983
CapHitB_fl1_18 || 52.4661 275.809 120.701 -41.2196 7.39752 -15.0398
CapHitB_fl1_19 || 125.114 96.3292 84.8343 -40.6365 25.9068 6.82674
CapHitB_fl1_20 || 249.058 336.702 55.9207 -28.7586 9.21198 -30.5594
CapHitB_fl1_21 || 282.444 305.301 104.803 -20.1275 26.4459 -26.3901
CapHitB_fl1_22 || 57.5371 101.106 74.8939 -18.7288 36.7617 8.08113
CapHitB_fl1_23 || 76.6117 355.504 67.9425 -12.9964 19.4256 -30.4778
CapHitB_fl1_24 || 313.626 308.446 93.5401 -22.4218 24.0826 -30.7836
CapHitB_fl1_25 || 240.739 276.055 77.9551 -9.6326 32.9811 -21.0217
CapHitB_fl1_26 || 351.631 261.377 113.867 -43.3272 23.8335 -13.1974
CapHitB_fl1_27 || 296.837 319.31 127.558 -8.42359 26.8148 -26.5492
CapHitB_fl1_28 || 154.987 66.9384 106.641 -49.7195 16.0031 -1.86887
CapHitB_fl1_29 || 301.666 332.356 42.3335 -33.3266 5.68373 -27.4571
CapHitB_fl1_30 || 104.588 352.998 52.7997 -18.6282 23.7569 -20.9096
CapHitB_fl1_33 || 355.892 209.086 121.439 -37.5587 18.8166 8.77705
CapHitB_fl1_34 || 319.009 296.601 133.056 -20.9491 39.7365 -13.1527
CapHitB_fl1_36 || 89.4577 32.1742 48.2938 -18.0268 34.1287 -16.0057
CapHitB_fl1_37 || 273.568 2.16389 90.2965 -28.1277 -0.39704 -24.7448
CapHitB_fl1_38 || 120.407 30.1252 20.3967 -22.1237 35.6807 -14.7308
CapHitB_fl1_39 || 44.3429 359.498 62.1285 -9.41783 10.4293 -30.8454
CapHitB_fl1_40 || 321.423 359.638 117.8 -10.5182 20.8233 -24.6765
CapHitB_fl1_41 || 333.806 293.554 46.4348 -32.057 13.0585 -23.2499
CapHitB_fl1_42 || 70.5082 294.92 86.1055 -27.9659 -12.6704 -23.9573
CapHitB_fl1_43 || 324.184 328.674 32.5686 -38.2343 -0.961786 -20.0599
CapHitB_fl1_44 || 47.6793 349.962 87.6018 -18.831 21.7743 -28.2768
CapHitB_fl1_45 || 194.77 50.9274 35.2004 -43.7172 11.6116 -14.716
CapHitB_fl1_46 || 355.367 338.496 87.5327 -20.0618 13.2278 -32.3099
CapHitB_fl1_47 || 26.3793 225.866 31.9504 -46.4943 9.58962 -6.70976
CapHitB_fl1_48 || 190.988 331.062 1.23053 -23.7258 38.5645 -10.8335
CapHitB_fl1_49 || 291.497 241.909 3.82878 -32.7339 36.127 -7.68969
CapHitB_fl1_50 || 344.566 315.856 47.7438 -33.3591 2.1046 -25.1566
CapHitB_fl1_52 || 26.2332 286.129 105.169 -36.2711 17.445 -21.6297
CapHitB_fl1_53 || 83.371 133.267 36.2847 -34.8792 30.8583 7.53158
CapHitB_fl1_55 || 85.3277 86.4429 35.1572 -27.6875 41.7717 -2.9802
CapHitB_fl1_56 || 344.589 275.139 24.8358 -42.1597 10.0484 -15.3597
CapHitB_fl1_57 || 340.517 265.654 70.8587 -43.5817 23.4281 -13.9136
CapHitB_fl1_58 || 98.3146 135.607 37.1634 -42.6561 19.0336 4.31327
CapHitB_fl1_59 || 41.9363 87.4398 33.2875 -14.7217 38.1223 0.543868
CapHitB_fl1_60 || 68.6095 342.982 50.5186 -9.47293 15.6425 -24.4248
CapHitB_fl1_61 || 25.0017 46.9137 147.663 4.99179 35.8331 -3.52028
CapHitB_fl1_62 || 123.221 38.5844 102.227 -41.6071 25.3131 -14.4522
CapHitB_fl1_63 || 346.535 266.331 62.8041 -41.4519 21.0912 -15.2961
CapHitB_fl1_64 || 276.659 332.302 131.684 1.79915 24.7412 -19.708
CapHitB_fl1_66 || 321.02 326.744 76.8022 -18.1073 16.7011 -29.3066
CapHitB_fl1_68 || 31.3307 251.808 37.3005 -43.0065 2.53225 -8.83468
CapHitB_fl1_69 || 42.6245 304.203 90.6474 -29.0322 3.3465 -30.3838
CapHitB_fl1_70 || 87.168 33.6692 78.8274 -24.7775 32.5574 -16.1595
CapHitB_fl1_72 || 294.371 263.256 30.2075 -33.271 35.2035 -10.3795
CapHitB_fl1_73 || 327.244 354.782 126.157 -3.15447 26.0991 -22.7468
CapHitB_fl1_74 || 111.852 6.22257 83.7563 -25.284 25.6528 -29.6328
CapHitB_fl1_75 || 36.7536 148.231 33.7278 -32.8913 32.3734 3.02525
CapHitB_fl1_76 || 67.7809 55.0083 95.3946 -13.6264 36.9689 -12.2341
CapHitB_fl1_77 || 291.503 177.251 88.3053 -14.819 29.8996 15.8767
CapHitB_fl1_78 || 358.554 230.361 61.4143 -40.3853 21.2672 -6.49673
CapHitB_fl1_80 || 194.415 338.157 61.7326 -16.2855 19.161 -29.1303
CapHitB_fl1_81 || 121.31 62.4861 76.0717 -33.9163 34.488 -10.3741
CapHitB_fl1_82 || 114.724 333.82 99.5524 -24.5692 7.8747 -34.8365
