/DIM/ 41.0000	41.0000	41.0000
/MID/ -8.0000	3.0000	-21.0000
/SPACING/ 0.5000
/COM/ -13.3779	1.2274	-17.6977
/RAY/ 1.2848	-2.2221	29.2718	1
/RAY/ 1.2685	-2.2221	29.4168	1
/RAY/ 1.2524	-2.2221	29.5695	1
/RAY/ 1.2667	-2.0496	37.5928	1
/RAY/ 1.2631	-2.0561	37.1703	1
/RAY/ 1.2503	-2.0561	37.3248	1
/RAY/ 1.6490	-2.0628	35.0904	1
/RAY/ 1.6348	-2.0628	35.0549	1
/RAY/ 1.2466	-2.0628	36.9060	1
/RAY/ 1.6500	-2.0696	34.6519	1
/RAY/ 1.6356	-2.0696	34.6159	1
/RAY/ 1.6212	-2.0696	34.5871	1
/RAY/ 1.6218	-2.0766	34.1494	1
/RAY/ 1.6072	-2.0766	34.1276	1
/RAY/ 1.6225	-2.0838	33.7135	1
/RAY/ 1.6077	-2.0838	33.6913	1
/RAY/ 1.5928	-2.0838	33.6766	1
/RAY/ 1.3163	-2.0838	34.7887	1
/RAY/ 1.3025	-2.0838	34.9180	1
/RAY/ 1.2887	-2.0838	35.0538	1
/RAY/ 1.2751	-2.0838	35.1963	1
/RAY/ 1.2615	-2.0838	35.3452	1
/RAY/ 1.2481	-2.0838	35.5006	1
/RAY/ 1.2348	-2.0838	35.6623	1
/RAY/ 1.6082	-2.0912	33.2569	1
/RAY/ 1.5931	-2.0912	33.2420	1
/RAY/ 1.3273	-2.0912	34.2442	1
/RAY/ 1.3131	-2.0912	34.3682	1
/RAY/ 1.2991	-2.0912	34.4990	1
/RAY/ 1.2442	-2.0912	35.0886	1
/RAY/ 1.2308	-2.0912	35.2522	1
/RAY/ 1.5934	-2.0988	32.8092	1
/RAY/ 1.5782	-2.0988	32.8017	1
/RAY/ 1.3386	-2.0988	33.7057	1
/RAY/ 1.3242	-2.0988	33.8243	1
/RAY/ 1.5937	-2.1065	32.3784	1
/RAY/ 1.5783	-2.1065	32.3708	1
/RAY/ 1.3356	-2.1065	33.2865	1
/RAY/ 1.3210	-2.1065	33.4065	1
/RAY/ 1.5784	-2.1145	31.9419	1
/RAY/ 1.5627	-2.1145	31.9420	1
/RAY/ 1.3325	-2.1145	32.8695	1
/RAY/ 1.5626	-2.1227	31.5152	1
/RAY/ 1.5468	-2.1227	31.5232	1
/RAY/ 1.3294	-2.1227	32.4549	1
/RAY/ 1.5464	-2.1312	31.0987	1
/RAY/ 1.5304	-2.1312	31.1149	1
/RAY/ 1.3263	-2.1312	32.0427	1
/RAY/ 1.5298	-2.1398	30.6929	1
/RAY/ 1.5135	-2.1398	30.7174	1
/RAY/ 1.4973	-2.1398	30.7501	1
/RAY/ 1.3230	-2.1398	31.6331	1
/RAY/ 1.3078	-2.1398	31.7594	1
/RAY/ 1.4963	-2.1487	30.3312	1
/RAY/ 1.4799	-2.1487	30.3725	1
/RAY/ 1.3197	-2.1487	31.2260	1
/RAY/ 1.3043	-2.1487	31.3540	1
/RAY/ 1.4786	-2.1579	29.9567	1
/RAY/ 1.4620	-2.1579	30.0069	1
/RAY/ 1.4455	-2.1579	30.0653	1
/RAY/ 1.3007	-2.1579	30.9514	1
/RAY/ 1.2852	-2.1579	31.0885	1
/RAY/ 1.4605	-2.1673	29.5944	1
/RAY/ 1.4437	-2.1673	29.6536	1
/RAY/ 1.4271	-2.1673	29.7211	1
/RAY/ 1.4104	-2.1673	29.7968	1
/RAY/ 1.2814	-2.1673	30.6906	1
/RAY/ 1.4250	-2.1770	29.3131	1
/RAY/ 1.4082	-2.1770	29.3899	1
/RAY/ 1.3915	-2.1770	29.4750	1
/RAY/ 1.3748	-2.1770	29.5683	1
/RAY/ 1.3583	-2.1770	29.6697	1
/RAY/ 1.2775	-2.1770	30.2957	1
/RAY/ 1.3553	-2.1870	29.2695	1
/RAY/ 1.3387	-2.1870	29.3805	1
/RAY/ 1.2736	-2.1870	29.9039	1
/RAY/ 1.2577	-2.1870	30.0541	1
/RAY/ 1.3355	-2.1972	28.9850	1
/RAY/ 1.3188	-2.1972	29.1056	1
/RAY/ 1.2535	-2.1972	29.6676	1
/RAY/ 1.3153	-2.2078	28.7150	1
/RAY/ 1.2985	-2.2078	28.8454	1
/RAY/ 1.2819	-2.2078	28.9839	1
/RAY/ 1.2654	-2.2078	29.1303	1
/RAY/ 1.2492	-2.2078	29.2845	1
/RAY/ 1.2779	-2.2186	28.6004	1
/RAY/ 1.2613	-2.2186	28.7487	1
/RAY/ 1.2448	-2.2186	28.9050	1
/RAY/ 1.2845	-2.0248	38.0868	1
/RAY/ 1.2811	-2.0309	37.6566	1
/RAY/ 1.2777	-2.0371	37.2281	1
/RAY/ 1.2648	-2.0371	37.3757	1
/RAY/ 1.2612	-2.0435	36.9507	1
/RAY/ 1.2484	-2.0435	37.1061	1
/RAY/ 1.6638	-2.0501	34.9006	1
/RAY/ 1.6496	-2.0501	34.8577	1
/RAY/ 1.2575	-2.0501	36.5277	1
/RAY/ 1.2445	-2.0501	36.6849	1
/RAY/ 1.6650	-2.0568	34.4597	1
/RAY/ 1.6506	-2.0568	34.4162	1
/RAY/ 1.6361	-2.0568	34.3800	1
/RAY/ 1.6215	-2.0568	34.3510	1
/RAY/ 1.2406	-2.0568	36.2656	1
/RAY/ 1.6369	-2.0637	33.9397	1
/RAY/ 1.6222	-2.0637	33.9103	1
/RAY/ 1.2366	-2.0637	35.8485	1
/RAY/ 1.6229	-2.0708	33.4712	1
/RAY/ 1.6079	-2.0708	33.4489	1
/RAY/ 1.3006	-2.0708	34.6841	1
/RAY/ 1.2868	-2.0708	34.8209	1
/RAY/ 1.2730	-2.0708	34.9643	1
/RAY/ 1.2594	-2.0708	35.1143	1
/RAY/ 1.2459	-2.0708	35.2707	1
/RAY/ 1.6236	-2.0780	33.0339	1
/RAY/ 1.6084	-2.0780	33.0113	1
/RAY/ 1.5933	-2.0780	32.9963	1
/RAY/ 1.3255	-2.0780	34.0057	1
/RAY/ 1.3113	-2.0780	34.1306	1
/RAY/ 1.2972	-2.0780	34.2623	1
/RAY/ 1.2419	-2.0780	34.8559	1
/RAY/ 1.2284	-2.0780	35.0206	1
/RAY/ 1.6089	-2.0855	32.5755	1
/RAY/ 1.5936	-2.0855	32.5602	1
/RAY/ 1.3224	-2.0855	33.5828	1
/RAY/ 1.3080	-2.0855	33.7092	1
/RAY/ 1.5939	-2.0932	32.1261	1
/RAY/ 1.5783	-2.0932	32.1184	1
/RAY/ 1.3338	-2.0932	33.0411	1
/RAY/ 1.3191	-2.0932	33.1620	1
/RAY/ 1.5942	-2.1010	31.6939	1
/RAY/ 1.5784	-2.1010	31.6861	1
/RAY/ 1.5627	-2.1010	31.6862	1
/RAY/ 1.3307	-2.1010	32.6210	1
/RAY/ 1.5786	-2.1091	31.2558	1
/RAY/ 1.5626	-2.1091	31.2559	1
/RAY/ 1.5466	-2.1091	31.2640	1
/RAY/ 1.3275	-2.1091	32.2032	1
/RAY/ 1.5462	-2.1174	30.8359	1
/RAY/ 1.5300	-2.1174	30.8523	1
/RAY/ 1.3243	-2.1174	31.7877	1
/RAY/ 1.5459	-2.1260	30.4100	1
/RAY/ 1.5295	-2.1260	30.4266	1
/RAY/ 1.5130	-2.1260	30.4514	1
/RAY/ 1.4967	-2.1260	30.4843	1
/RAY/ 1.3210	-2.1260	31.3748	1
/RAY/ 1.3056	-2.1260	31.5021	1
/RAY/ 1.4956	-2.1348	30.0617	1
/RAY/ 1.4791	-2.1348	30.1034	1
/RAY/ 1.3020	-2.1348	31.0934	1
/RAY/ 1.4778	-2.1438	29.6839	1
/RAY/ 1.4610	-2.1438	29.7345	1
/RAY/ 1.2984	-2.1438	30.6874	1
/RAY/ 1.2827	-2.1438	30.8257	1
/RAY/ 1.4764	-2.1531	29.2668	1
/RAY/ 1.4595	-2.1531	29.3182	1
/RAY/ 1.4425	-2.1531	29.3779	1
/RAY/ 1.4257	-2.1531	29.4460	1
/RAY/ 1.2946	-2.1531	30.2842	1
/RAY/ 1.2788	-2.1531	30.4243	1
/RAY/ 1.4407	-2.1627	28.9651	1
/RAY/ 1.4236	-2.1627	29.0342	1
/RAY/ 1.4066	-2.1627	29.1117	1
/RAY/ 1.3897	-2.1627	29.1976	1
/RAY/ 1.3729	-2.1627	29.2918	1
/RAY/ 1.3563	-2.1627	29.3941	1
/RAY/ 1.2748	-2.1627	30.0259	1
/RAY/ 1.2590	-2.1627	30.1755	1
/RAY/ 1.3701	-2.1726	28.8864	1
/RAY/ 1.3532	-2.1726	28.9902	1
/RAY/ 1.3365	-2.1726	29.1022	1
/RAY/ 1.2708	-2.1726	29.6305	1
/RAY/ 1.2547	-2.1726	29.7821	1
