/DIM/ 29.0000	29.0000	29.0000
/MID/ -15.0000	1.0000	-17.0000
/SPACING/ 0.5000
/COM/ -14.9596	2.0025	-17.5101
/RAY/ 1.1957	-2.3289	35.2277	1
/RAY/ 1.5429	-2.3395	32.4300	1
/RAY/ 1.5275	-2.3395	32.4478	1
/RAY/ 1.5121	-2.3395	32.4733	1
/RAY/ 1.4814	-2.3395	32.5473	1
/RAY/ 1.4661	-2.3395	32.5957	1
/RAY/ 1.4509	-2.3395	32.6518	1
/RAY/ 1.4357	-2.3395	32.7153	1
/RAY/ 1.4206	-2.3395	32.7864	1
/RAY/ 1.4056	-2.3395	32.8650	1
/RAY/ 1.3906	-2.3395	32.9509	1
/RAY/ 1.2602	-2.3395	34.0465	1
/RAY/ 1.2463	-2.3395	34.2026	1
/RAY/ 1.2325	-2.3395	34.3653	1
/RAY/ 1.2188	-2.3395	34.5345	1
/RAY/ 1.5270	-2.3504	32.0906	1
/RAY/ 1.5114	-2.3504	32.1164	1
/RAY/ 1.4959	-2.3504	32.1500	1
/RAY/ 1.4804	-2.3504	32.1912	1
/RAY/ 1.4650	-2.3504	32.2402	1
/RAY/ 1.4496	-2.3504	32.2969	1
/RAY/ 1.4342	-2.3504	32.3611	1
/RAY/ 1.4038	-2.3504	32.5124	1
/RAY/ 1.3886	-2.3504	32.5992	1
/RAY/ 1.2854	-2.3504	33.4111	1
/RAY/ 1.2711	-2.3504	33.5553	1
/RAY/ 1.2570	-2.3504	33.7062	1
/RAY/ 1.2429	-2.3504	33.8639	1
/RAY/ 1.4951	-2.3614	31.7973	1
/RAY/ 1.4794	-2.3614	31.8390	1
/RAY/ 1.4638	-2.3614	31.8885	1
/RAY/ 1.3866	-2.3614	32.2515	1
/RAY/ 1.3714	-2.3614	32.3468	1
/RAY/ 1.3563	-2.3614	32.4495	1
/RAY/ 1.2970	-2.3614	32.9332	1
/RAY/ 1.2824	-2.3614	33.0719	1
/RAY/ 1.2680	-2.3614	33.2175	1
/RAY/ 1.3540	-2.3728	32.1079	1
/RAY/ 1.3389	-2.3728	32.2192	1
/RAY/ 1.3238	-2.3728	32.3377	1
/RAY/ 1.3089	-2.3728	32.4636	1
/RAY/ 1.2941	-2.3728	32.5966	1
/RAY/ 1.6038	-2.2972	33.1956	1
/RAY/ 1.6041	-2.3074	32.8237	1
/RAY/ 1.5889	-2.3074	32.8109	1
/RAY/ 1.5737	-2.3074	32.8056	1
/RAY/ 1.5737	-2.3177	32.4370	1
/RAY/ 1.5583	-2.3177	32.4394	1
/RAY/ 1.5429	-2.3177	32.4495	1
/RAY/ 1.2190	-2.3177	34.5528	1
/RAY/ 1.2055	-2.3177	34.7282	1
/RAY/ 1.1921	-2.3177	34.9100	1
/RAY/ 1.5426	-2.3283	32.0845	1
/RAY/ 1.5270	-2.3283	32.1025	1
/RAY/ 1.4343	-2.3283	32.3729	1
/RAY/ 1.4190	-2.3283	32.4448	1
/RAY/ 1.4038	-2.3283	32.5241	1
/RAY/ 1.2430	-2.3283	33.8752	1
/RAY/ 1.2291	-2.3283	34.0395	1
/RAY/ 1.2153	-2.3283	34.2103	1
/RAY/ 1.2017	-2.3283	34.3875	1
/RAY/ 1.1882	-2.3283	34.5710	1
/RAY/ 1.5265	-2.3391	31.7415	1
/RAY/ 1.5108	-2.3391	31.7675	1
/RAY/ 1.4951	-2.3391	31.8015	1
/RAY/ 1.4638	-2.3391	31.8927	1
/RAY/ 1.4482	-2.3391	31.9500	1
/RAY/ 1.4327	-2.3391	32.0149	1
/RAY/ 1.4019	-2.3391	32.1678	1
/RAY/ 1.3867	-2.3391	32.2556	1
/RAY/ 1.3715	-2.3391	32.3509	1
/RAY/ 1.2680	-2.3391	33.2215	1
/RAY/ 1.2537	-2.3391	33.3740	1
/RAY/ 1.2396	-2.3391	33.5333	1
/RAY/ 1.4942	-2.3502	31.4449	1
/RAY/ 1.4784	-2.3502	31.4871	1
/RAY/ 1.4626	-2.3502	31.5372	1
/RAY/ 1.3846	-2.3502	31.9041	1
/RAY/ 1.3693	-2.3502	32.0004	1
/RAY/ 1.3540	-2.3502	32.1042	1
/RAY/ 1.3388	-2.3502	32.2155	1
/RAY/ 1.3238	-2.3502	32.3341	1
/RAY/ 1.3089	-2.3502	32.4600	1
/RAY/ 1.2940	-2.3502	32.5930	1
/RAY/ 1.2793	-2.3502	32.7332	1
/RAY/ 1.2648	-2.3502	32.8803	1
/RAY/ 1.2503	-2.3502	33.0344	1
/RAY/ 1.3516	-2.3616	31.7589	1
/RAY/ 1.3363	-2.3616	31.8714	1
/RAY/ 1.3211	-2.3616	31.9913	1
/RAY/ 1.3060	-2.3616	32.1185	1
/RAY/ 1.2910	-2.3616	32.2530	1
/RAY/ 1.6026	-2.2477	34.4001	1
/RAY/ 1.6030	-2.2569	34.0120	1
/RAY/ 1.6033	-2.2664	33.6268	1
/RAY/ 1.2705	-2.2664	35.1830	1
/RAY/ 1.6037	-2.2760	33.2447	1
/RAY/ 1.5887	-2.2760	33.2320	1
/RAY/ 1.2811	-2.2760	34.6719	1
/RAY/ 1.2673	-2.2760	34.8180	1
/RAY/ 1.2537	-2.2760	34.9707	1
/RAY/ 1.2401	-2.2760	35.1299	1
/RAY/ 1.2267	-2.2760	35.2954	1
/RAY/ 1.6041	-2.2859	32.8658	1
/RAY/ 1.5889	-2.2859	32.8530	1
/RAY/ 1.5737	-2.2859	32.8477	1
/RAY/ 1.2779	-2.2859	34.3087	1
/RAY/ 1.2640	-2.2859	34.4564	1
/RAY/ 1.2502	-2.2859	34.6107	1
/RAY/ 1.2366	-2.2859	34.7715	1
/RAY/ 1.2231	-2.2859	34.9387	1
/RAY/ 1.6045	-2.2960	32.4902	1
/RAY/ 1.5891	-2.2960	32.4772	1
/RAY/ 1.5737	-2.2960	32.4719	1
/RAY/ 1.2747	-2.2960	33.9490	1
/RAY/ 1.2607	-2.2960	34.0983	1
/RAY/ 1.2468	-2.2960	34.2542	1
/RAY/ 1.2330	-2.2960	34.4166	1
/RAY/ 1.2194	-2.2960	34.5855	1
/RAY/ 1.5737	-2.3063	32.0994	1
/RAY/ 1.5582	-2.3063	32.1018	1
/RAY/ 1.5426	-2.3063	32.1120	1
/RAY/ 1.2573	-2.3063	33.7437	1
/RAY/ 1.2433	-2.3063	33.9013	1
/RAY/ 1.2294	-2.3063	34.0654	1
/RAY/ 1.5423	-2.3169	31.7432	1
/RAY/ 1.5265	-2.3169	31.7614	1
/RAY/ 1.4483	-2.3169	31.9697	1
/RAY/ 1.4328	-2.3169	32.0347	1
/RAY/ 1.4174	-2.3169	32.1073	1
/RAY/ 1.4021	-2.3169	32.1874	1
/RAY/ 1.3868	-2.3169	32.2752	1
/RAY/ 1.2397	-2.3169	33.5521	1
/RAY/ 1.2257	-2.3169	33.7179	1
/RAY/ 1.2118	-2.3169	33.8904	1
/RAY/ 1.1981	-2.3169	34.0692	1
/RAY/ 1.1845	-2.3169	34.2544	1
/RAY/ 1.5260	-2.3277	31.3964	1
/RAY/ 1.5101	-2.3277	31.4228	1
/RAY/ 1.4942	-2.3277	31.4570	1
/RAY/ 1.4784	-2.3277	31.4992	1
/RAY/ 1.4626	-2.3277	31.5493	1
/RAY/ 1.4469	-2.3277	31.6072	1
/RAY/ 1.4312	-2.3277	31.6728	1
/RAY/ 1.4001	-2.3277	31.8273	1
/RAY/ 1.3847	-2.3277	31.9161	1
/RAY/ 1.3693	-2.3277	32.0124	1
/RAY/ 1.3541	-2.3277	32.1161	1
/RAY/ 1.2505	-2.3277	33.0460	1
/RAY/ 1.2362	-2.3277	33.2068	1
/RAY/ 1.4934	-2.3388	31.0965	1
/RAY/ 1.4773	-2.3388	31.1392	1
/RAY/ 1.4614	-2.3388	31.1898	1
/RAY/ 1.3670	-2.3388	31.6582	1
/RAY/ 1.3516	-2.3388	31.7631	1
/RAY/ 1.3363	-2.3388	31.8756	1
/RAY/ 1.3211	-2.3388	31.9954	1
/RAY/ 1.3060	-2.3388	32.1226	1
/RAY/ 1.2911	-2.3388	32.2571	1
/RAY/ 1.2762	-2.3388	32.3987	1
/RAY/ 1.2615	-2.3388	32.5473	1
/RAY/ 1.2470	-2.3388	32.7030	1
/RAY/ 1.6025	-2.2273	34.4838	1
/RAY/ 1.5880	-2.2273	34.4716	1
/RAY/ 1.2909	-2.2273	35.8617	1
/RAY/ 1.6029	-2.2363	34.0893	1
/RAY/ 1.5882	-2.2363	34.0769	1
/RAY/ 1.3014	-2.2363	35.3462	1
/RAY/ 1.2879	-2.2363	35.4825	1
/RAY/ 1.6033	-2.2454	33.6976	1
/RAY/ 1.5884	-2.2454	33.6851	1
/RAY/ 1.3123	-2.2454	34.8374	1
/RAY/ 1.2985	-2.2454	34.9686	1
/RAY/ 1.2847	-2.2454	35.1063	1
/RAY/ 1.2711	-2.2454	35.2507	1
/RAY/ 1.6037	-2.2548	33.3088	1
/RAY/ 1.5886	-2.2548	33.2961	1
/RAY/ 1.3094	-2.2548	34.4615	1
/RAY/ 1.2954	-2.2548	34.5940	1
/RAY/ 1.2816	-2.2548	34.7333	1
/RAY/ 1.2678	-2.2548	34.8792	1
/RAY/ 1.6040	-2.2644	32.9230	1
/RAY/ 1.5889	-2.2644	32.9102	1
/RAY/ 1.5737	-2.2644	32.9050	1
/RAY/ 1.3065	-2.2644	34.0887	1
/RAY/ 1.2924	-2.2644	34.2227	1
/RAY/ 1.2784	-2.2644	34.3635	1
/RAY/ 1.2645	-2.2644	34.5110	1
/RAY/ 1.5891	-2.2743	32.5274	1
/RAY/ 1.5737	-2.2743	32.5221	1
/RAY/ 1.2893	-2.2743	33.8548	1
/RAY/ 1.2751	-2.2743	33.9971	1
/RAY/ 1.2199	-2.2743	34.6327	1
/RAY/ 1.2064	-2.2743	34.8077	1
/RAY/ 1.5737	-2.2843	32.1424	1
/RAY/ 1.5582	-2.2843	32.1448	1
/RAY/ 1.2861	-2.2843	33.4902	1
/RAY/ 1.2718	-2.2843	33.6340	1
/RAY/ 1.2577	-2.2843	33.7847	1
/RAY/ 1.2298	-2.2843	34.1060	1
/RAY/ 1.2161	-2.2843	34.2764	1
/RAY/ 1.2024	-2.2843	34.4533	1
/RAY/ 1.5738	-2.2946	31.7661	1
/RAY/ 1.5580	-2.2946	31.7685	1
/RAY/ 1.5423	-2.2946	31.7788	1
/RAY/ 1.2829	-2.2946	33.1292	1
/RAY/ 1.2685	-2.2946	33.2746	1
/RAY/ 1.2542	-2.2946	33.4268	1
/RAY/ 1.2401	-2.2946	33.5858	1
/RAY/ 1.2261	-2.2946	33.7515	1
/RAY/ 1.2122	-2.2946	33.9237	1
/RAY/ 1.1985	-2.2946	34.1024	1
/RAY/ 1.1849	-2.2946	34.2875	1
/RAY/ 1.5420	-2.3052	31.4061	1
/RAY/ 1.5260	-2.3052	31.4245	1
/RAY/ 1.5102	-2.3052	31.4508	1
/RAY/ 1.4943	-2.3052	31.4851	1
/RAY/ 1.4785	-2.3052	31.5272	1
/RAY/ 1.4627	-2.3052	31.5772	1
/RAY/ 1.4470	-2.3052	31.6351	1
/RAY/ 1.4314	-2.3052	31.7007	1
/RAY/ 1.4158	-2.3052	31.7740	1
/RAY/ 1.4003	-2.3052	31.8551	1
/RAY/ 1.3848	-2.3052	31.9437	1
/RAY/ 1.3695	-2.3052	32.0399	1
/RAY/ 1.2651	-2.3052	32.9188	1
/RAY/ 1.2507	-2.3052	33.0727	1
/RAY/ 1.2364	-2.3052	33.2334	1
/RAY/ 1.2223	-2.3052	33.4008	1
/RAY/ 1.2083	-2.3052	33.5748	1
/RAY/ 1.1945	-2.3052	33.7554	1
/RAY/ 1.1808	-2.3052	33.9423	1
/RAY/ 1.5255	-2.3160	31.0555	1
/RAY/ 1.5094	-2.3160	31.0822	1
/RAY/ 1.4934	-2.3160	31.1169	1
/RAY/ 1.4774	-2.3160	31.1595	1
/RAY/ 1.4615	-2.3160	31.2101	1
/RAY/ 1.4456	-2.3160	31.2686	1
/RAY/ 1.3827	-2.3160	31.5808	1
/RAY/ 1.3672	-2.3160	31.6781	1
/RAY/ 1.3518	-2.3160	31.7830	1
/RAY/ 1.2472	-2.3160	32.7223	1
/RAY/ 1.2328	-2.3160	32.8847	1
